file_name,IR_ID,X,Y,Z,Distance
1462-170142-0024,55,0.0,1.5,-0.3,1.5297058540778354
1462-170142-0025,186,-1.75,1.25,-0.6,2.2327113561766105
1462-170142-0026,185,-2.0,-0.25,-0.6,2.102974084481309
1462-170142-0027,82,1.5,1.5,0.0,2.1213203435596424
1462-170142-0028,245,1.0,0.75,1.0,1.6007810593582121
1462-170142-0029,241,-1.75,0.75,1.0,2.1505813167606567
1462-170142-0030,151,0.0,1.5,1.0,1.8027756377319946
1462-170142-0031,92,-0.5,-1.5,0.0,1.5811388300841898
1462-170142-0032,252,-1.5,-1.25,1.0,2.1937410968480306
1462-170142-0033,63,1.5,-1.0,-0.3,1.8275666882497066
1462-170142-0034,20,-0.5,-1.5,-1.0,1.8708286933869707
1462-170142-0035,151,0.0,1.5,1.0,1.8027756377319946
1462-170142-0036,240,0.75,-1.5,0.6,1.7811513130556875
1462-170142-0037,31,0.0,1.5,-0.6,1.6155494421403511
1462-170142-0038,115,0.0,-1.5,0.3,1.5297058540778354
1462-170142-0039,63,1.5,-1.0,-0.3,1.8275666882497066
1462-170142-0040,143,-1.5,-1.0,0.6,1.9
1462-170142-0041,86,1.5,-0.5,0.0,1.5811388300841898
1462-170142-0042,128,0.5,1.5,0.6,1.6911534525287764
1462-170145-0001,186,-1.75,1.25,-0.6,2.2327113561766105
1462-170145-0002,101,-1.0,1.5,0.3,1.8275666882497066
1462-170145-0003,83,1.5,1.0,0.0,1.8027756377319946
1462-170145-0004,48,-1.5,-0.5,-0.6,1.6911534525287764
1462-170145-0005,187,-1.5,0.75,-0.6,1.7811513130556875
1462-170145-0006,63,1.5,-1.0,-0.3,1.8275666882497066
1462-170145-0007,49,-1.5,0.0,-0.3,1.5297058540778354
1462-170145-0008,123,-1.5,1.0,0.6,1.9
1462-170145-0009,252,-1.5,-1.25,1.0,2.1937410968480306
1462-170145-0010,112,1.5,-1.5,0.3,2.142428528562855
1462-170145-0011,89,1.0,-1.5,0.0,1.8027756377319946
1462-170145-0012,91,0.0,-1.5,0.0,1.5
1462-170145-0013,141,-1.0,-1.5,0.6,1.9
1462-170145-0014,212,1.75,0.0,0.0,1.75
1462-170145-0015,232,-1.0,1.25,0.6,1.7095320997278758
1462-170145-0016,171,0.5,-1.25,-1.0,1.6770509831248424
1462-170145-0017,196,-0.25,-0.75,-0.3,0.8455767262643882
1462-170145-0018,236,1.75,1.0,0.6,2.102974084481309
1462-170145-0019,207,-0.75,1.0,0.0,1.25
1462-170145-0020,138,0.5,-1.5,0.6,1.6911534525287764
1462-170145-0021,244,0.75,0.5,1.0,1.346291201783626
1462-170145-0022,89,1.0,-1.5,0.0,1.8027756377319946
1673-143396-0002,249,0.75,-1.0,1.0,1.6007810593582121
1673-143396-0003,45,-1.0,-1.5,-0.6,1.9
1673-143396-0005,123,-1.5,1.0,0.6,1.9
1673-143396-0007,72,-1.5,-0.5,-0.3,1.6093476939431082
1673-143396-0010,9,1.0,1.5,-1.0,2.0615528128088303
1673-143396-0015,49,-1.5,0.0,-0.3,1.5297058540778354
1673-143396-0017,216,0.0,-1.0,0.0,1.0
1673-143397-0000,32,0.5,1.5,-0.6,1.6911534525287764
1673-143397-0001,162,0.5,-1.5,1.0,1.8708286933869707
1673-143397-0003,196,-0.25,-0.75,-0.3,0.8455767262643882
1673-143397-0005,81,1.0,1.5,0.0,1.8027756377319946
1673-143397-0006,251,-1.25,-1.25,1.0,2.03100960115899
1673-143397-0007,76,-1.5,1.5,0.0,2.1213203435596424
1673-143397-0008,126,-0.5,1.5,0.6,1.6911534525287764
1673-143397-0009,155,1.5,1.0,1.0,2.0615528128088303
1673-143397-0010,40,1.5,-1.5,-0.6,2.2045407685048604
1673-143397-0012,137,1.0,-1.5,0.6,1.9
1673-143397-0013,189,0.25,0.75,-0.6,0.9924716620639604
1673-143397-0014,155,1.5,1.0,1.0,2.0615528128088303
1673-143397-0015,189,0.25,0.75,-0.6,0.9924716620639604
1673-143397-0017,121,-1.5,0.0,0.6,1.6155494421403511
1673-143397-0018,94,-1.5,-1.5,0.0,2.1213203435596424
174-168635-0000,243,-1.5,1.25,1.0,2.1937410968480306
174-168635-0001,59,1.5,1.0,-0.3,1.8275666882497066
174-168635-0005,79,0.0,1.5,0.0,1.5
174-168635-0006,83,1.5,1.0,0.0,1.8027756377319946
174-168635-0007,239,1.75,-1.25,0.6,2.2327113561766105
174-168635-0008,110,1.5,-0.5,0.3,1.6093476939431082
174-168635-0009,148,-1.5,1.5,1.0,2.345207879911715
174-168635-0010,51,-1.5,1.0,-0.3,1.8275666882497066
174-168635-0011,25,-1.5,0.0,-0.6,1.6155494421403511
174-168635-0012,173,1.75,-0.25,-1.0,2.03100960115899
174-168635-0013,113,1.0,-1.5,0.3,1.8275666882497066
174-168635-0014,94,-1.5,-1.5,0.0,2.1213203435596424
174-168635-0015,45,-1.0,-1.5,-0.6,1.9
174-168635-0016,34,1.5,1.5,-0.6,2.2045407685048604
174-168635-0017,182,-1.25,-1.25,-0.6,1.8668154702594468
174-168635-0019,74,-1.5,0.5,0.0,1.5811388300841898
174-168635-0020,123,-1.5,1.0,0.6,1.9
174-168635-0021,247,1.75,-0.25,1.0,2.03100960115899
174-168635-0022,32,0.5,1.5,-0.6,1.6911534525287764
174-50561-0000,52,-1.5,1.5,-0.3,2.142428528562855
174-50561-0002,226,1.0,0.0,0.3,1.044030650891055
174-50561-0003,248,0.75,-0.75,1.0,1.4577379737113252
174-50561-0004,182,-1.25,-1.25,-0.6,1.8668154702594468
174-50561-0005,117,-1.0,-1.5,0.3,1.8275666882497066
174-50561-0006,69,-1.0,-1.5,-0.3,1.8275666882497066
174-50561-0007,230,-1.5,-0.25,0.6,1.6347782724271815
174-50561-0009,243,-1.5,1.25,1.0,2.1937410968480306
174-50561-0011,225,1.0,-0.5,0.3,1.1575836902790226
174-50561-0012,186,-1.75,1.25,-0.6,2.2327113561766105
174-50561-0013,120,-1.5,-0.5,0.3,1.6093476939431082
174-50561-0014,167,-1.5,-1.0,1.0,2.0615528128088303
174-50561-0017,129,1.0,1.5,0.6,1.9
174-50561-0018,35,1.5,1.0,-0.6,1.9
174-50561-0019,246,1.5,0.75,1.0,1.9525624189766635
174-84280-0000,73,-1.5,0.0,0.0,1.5
174-84280-0003,50,-1.5,0.5,-0.3,1.6093476939431082
174-84280-0005,47,-1.5,-1.0,-0.6,1.9
174-84280-0006,5,-1.0,1.5,-1.0,2.0615528128088303
174-84280-0007,66,0.5,-1.5,-0.3,1.6093476939431082
174-84280-0008,184,-1.75,-1.0,-0.6,2.102974084481309
174-84280-0009,45,-1.0,-1.5,-0.6,1.9
174-84280-0010,223,-0.5,-1.0,0.3,1.1575836902790226
174-84280-0011,57,1.0,1.5,-0.3,1.8275666882497066
174-84280-0014,52,-1.5,1.5,-0.3,2.142428528562855
1919-142785-0000,197,-1.5,0.25,-0.3,1.55
1919-142785-0001,13,1.5,0.0,-1.0,1.8027756377319946
1919-142785-0002,241,-1.75,0.75,1.0,2.1505813167606567
1919-142785-0003,166,-1.5,-1.5,1.0,2.345207879911715
1919-142785-0004,91,0.0,-1.5,0.0,1.5
1919-142785-0006,205,-2.0,0.0,0.0,2.0
1919-142785-0009,104,0.5,1.5,0.3,1.6093476939431082
1919-142785-0010,86,1.5,-0.5,0.0,1.5811388300841898
1919-142785-0012,96,-1.5,-0.5,0.0,1.5811388300841898
1919-142785-0013,94,-1.5,-1.5,0.0,2.1213203435596424
1919-142785-0014,81,1.0,1.5,0.0,1.8027756377319946
1919-142785-0015,210,0.5,1.0,0.0,1.118033988749895
1919-142785-0016,146,-1.5,0.5,1.0,1.8708286933869707
1919-142785-0017,192,2.0,0.25,-0.6,2.102974084481309
1919-142785-0018,246,1.5,0.75,1.0,1.9525624189766635
1919-142785-0019,76,-1.5,1.5,0.0,2.1213203435596424
1919-142785-0020,161,1.0,-1.5,1.0,2.0615528128088303
1919-142785-0021,237,2.0,1.0,0.6,2.3151673805580453
1919-142785-0022,14,1.5,-0.5,-1.0,1.8708286933869707
1919-142785-0023,173,1.75,-0.25,-1.0,2.03100960115899
1919-142785-0024,209,-0.25,0.75,0.0,0.7905694150420949
1919-142785-0025,166,-1.5,-1.5,1.0,2.345207879911715
1919-142785-0026,240,0.75,-1.5,0.6,1.7811513130556875
1919-142785-0027,67,0.0,-1.5,-0.3,1.5297058540778354
1919-142785-0028,59,1.5,1.0,-0.3,1.8275666882497066
1919-142785-0029,159,1.5,-1.0,1.0,2.0615528128088303
1919-142785-0030,196,-0.25,-0.75,-0.3,0.8455767262643882
1919-142785-0031,182,-1.25,-1.25,-0.6,1.8668154702594468
1919-142785-0032,47,-1.5,-1.0,-0.6,1.9
1919-142785-0033,216,0.0,-1.0,0.0,1.0
1919-142785-0034,206,-2.0,0.75,0.0,2.1360009363293826
1919-142785-0035,175,0.75,1.25,-1.0,1.7677669529663689
1919-142785-0037,125,-1.0,1.5,0.6,1.9
1919-142785-0038,141,-1.0,-1.5,0.6,1.9
1919-142785-0039,197,-1.5,0.25,-0.3,1.55
1919-142785-0040,67,0.0,-1.5,-0.3,1.5297058540778354
1919-142785-0042,243,-1.5,1.25,1.0,2.1937410968480306
1919-142785-0043,40,1.5,-1.5,-0.6,2.2045407685048604
1919-142785-0044,95,-1.5,-1.0,0.0,1.8027756377319946
1919-142785-0045,8,0.5,1.5,-1.0,1.8708286933869707
1919-142785-0046,220,-0.75,-0.5,0.3,0.95
1919-142785-0048,180,-1.25,1.25,-1.0,2.03100960115899
1919-142785-0050,35,1.5,1.0,-0.6,1.9
1919-142785-0051,160,1.5,-1.5,1.0,2.345207879911715
1919-142785-0052,98,-1.5,0.5,0.3,1.6093476939431082
1919-142785-0053,162,0.5,-1.5,1.0,1.8708286933869707
1919-142785-0054,17,1.0,-1.5,-1.0,2.0615528128088303
1919-142785-0055,172,1.25,-1.5,-1.0,2.1937410968480306
1919-142785-0056,241,-1.75,0.75,1.0,2.1505813167606567
1919-142785-0057,125,-1.0,1.5,0.6,1.9
1919-142785-0058,192,2.0,0.25,-0.6,2.102974084481309
1919-142785-0059,99,-1.5,1.0,0.3,1.8275666882497066
1919-142785-0060,110,1.5,-0.5,0.3,1.6093476939431082
1919-142785-0062,12,1.5,0.5,-1.0,1.8708286933869707
1919-142785-0063,104,0.5,1.5,0.3,1.6093476939431082
1988-147956-0002,148,-1.5,1.5,1.0,2.345207879911715
1988-147956-0003,164,-0.5,-1.5,1.0,1.8708286933869707
1988-147956-0004,145,-1.5,0.0,1.0,1.8027756377319946
1988-147956-0005,176,-0.5,0.75,-1.0,1.346291201783626
1988-147956-0006,13,1.5,0.0,-1.0,1.8027756377319946
1988-147956-0007,131,1.5,1.0,0.6,1.9
1988-147956-0009,105,1.0,1.5,0.3,1.8275666882497066
1988-147956-0010,17,1.0,-1.5,-1.0,2.0615528128088303
1988-147956-0011,1,-1.5,0.0,-1.0,1.8027756377319946
1988-147956-0012,150,-0.5,1.5,1.0,1.8708286933869707
1988-147956-0013,39,1.5,-1.0,-0.6,1.9
1988-147956-0014,118,-1.5,-1.5,0.3,2.142428528562855
1988-147956-0015,225,1.0,-0.5,0.3,1.1575836902790226
1988-147956-0016,24,-1.5,-0.5,-1.0,1.8708286933869707
1988-147956-0017,201,0.0,1.25,-0.3,1.285496013218244
1988-147956-0018,87,1.5,-1.0,0.0,1.8027756377319946
1988-147956-0019,16,1.5,-1.5,-1.0,2.345207879911715
1988-147956-0020,204,1.75,-1.25,-0.3,2.1714050750608465
1988-147956-0021,220,-0.75,-0.5,0.3,0.95
1988-147956-0022,97,-1.5,0.0,0.3,1.5297058540778354
1988-147956-0023,177,-1.25,0.25,-1.0,1.620185174601965
1988-147956-0024,143,-1.5,-1.0,0.6,1.9
1988-147956-0025,15,1.5,-1.0,-1.0,2.0615528128088303
1988-147956-0026,50,-1.5,0.5,-0.3,1.6093476939431082
1988-147956-0027,224,0.0,-0.75,0.3,0.8077747210701756
1988-147956-0028,90,0.5,-1.5,0.0,1.5811388300841898
1988-147956-0029,207,-0.75,1.0,0.0,1.25
1988-148538-0001,48,-1.5,-0.5,-0.6,1.6911534525287764
1988-148538-0002,168,-1.5,-0.5,1.0,1.8708286933869707
1988-148538-0003,251,-1.25,-1.25,1.0,2.03100960115899
1988-148538-0007,26,-1.5,0.5,-0.6,1.6911534525287764
1988-148538-0008,41,1.0,-1.5,-0.6,1.9
1988-148538-0009,70,-1.5,-1.5,-0.3,2.142428528562855
1988-148538-0010,33,1.0,1.5,-0.6,1.9
1988-148538-0011,5,-1.0,1.5,-1.0,2.0615528128088303
1988-148538-0013,39,1.5,-1.0,-0.6,1.9
1988-148538-0014,113,1.0,-1.5,0.3,1.8275666882497066
1988-24833-0000,252,-1.5,-1.25,1.0,2.1937410968480306
1988-24833-0001,101,-1.0,1.5,0.3,1.8275666882497066
1988-24833-0002,190,0.75,-0.25,-0.6,0.9924716620639604
1988-24833-0003,80,0.5,1.5,0.0,1.5811388300841898
1988-24833-0004,85,1.5,0.0,0.0,1.5
1988-24833-0005,145,-1.5,0.0,1.0,1.8027756377319946
1988-24833-0006,97,-1.5,0.0,0.3,1.5297058540778354
1988-24833-0007,129,1.0,1.5,0.6,1.9
1988-24833-0008,154,1.5,1.5,1.0,2.345207879911715
1988-24833-0009,15,1.5,-1.0,-1.0,2.0615528128088303
1988-24833-0010,67,0.0,-1.5,-0.3,1.5297058540778354
1988-24833-0011,111,1.5,-1.0,0.3,1.8275666882497066
1988-24833-0012,69,-1.0,-1.5,-0.3,1.8275666882497066
1988-24833-0013,149,-1.0,1.5,1.0,2.0615528128088303
1988-24833-0014,23,-1.5,-1.0,-1.0,2.0615528128088303
1988-24833-0015,27,-1.5,1.0,-0.6,1.9
1988-24833-0016,197,-1.5,0.25,-0.3,1.55
1988-24833-0017,64,1.5,-1.5,-0.3,2.142428528562855
1988-24833-0018,73,-1.5,0.0,0.0,1.5
1988-24833-0019,59,1.5,1.0,-0.3,1.8275666882497066
1988-24833-0020,104,0.5,1.5,0.3,1.6093476939431082
1988-24833-0021,124,-1.5,1.5,0.6,2.2045407685048604
1988-24833-0022,148,-1.5,1.5,1.0,2.345207879911715
1988-24833-0023,246,1.5,0.75,1.0,1.9525624189766635
1988-24833-0024,168,-1.5,-0.5,1.0,1.8708286933869707
1988-24833-0025,78,-0.5,1.5,0.0,1.5811388300841898
1988-24833-0026,161,1.0,-1.5,1.0,2.0615528128088303
1988-24833-0027,28,-1.5,1.5,-0.6,2.2045407685048604
1988-24833-0028,246,1.5,0.75,1.0,1.9525624189766635
1993-147149-0000,179,-2.0,1.0,-1.0,2.449489742783178
1993-147149-0001,3,-1.5,1.0,-1.0,2.0615528128088303
1993-147149-0002,106,1.5,1.5,0.3,2.142428528562855
1993-147149-0004,202,1.0,0.5,-0.3,1.1575836902790226
1993-147149-0005,108,1.5,0.5,0.3,1.6093476939431082
1993-147149-0007,203,1.5,-0.25,-0.3,1.55
1993-147149-0008,193,-2.0,-0.5,-0.3,2.083266665599966
1993-147149-0010,54,-0.5,1.5,-0.3,1.6093476939431082
1993-147149-0011,26,-1.5,0.5,-0.6,1.6911534525287764
1993-147149-0012,129,1.0,1.5,0.6,1.9
1993-147149-0013,124,-1.5,1.5,0.6,2.2045407685048604
1993-147149-0014,216,0.0,-1.0,0.0,1.0
1993-147149-0015,172,1.25,-1.5,-1.0,2.1937410968480306
1993-147149-0016,54,-0.5,1.5,-0.3,1.6093476939431082
1993-147149-0017,41,1.0,-1.5,-0.6,1.9
1993-147149-0019,215,0.75,-1.5,0.0,1.6770509831248424
1993-147149-0021,82,1.5,1.5,0.0,2.1213203435596424
1993-147149-0023,40,1.5,-1.5,-0.6,2.2045407685048604
1993-147149-0024,25,-1.5,0.0,-0.6,1.6155494421403511
1993-147149-0025,224,0.0,-0.75,0.3,0.8077747210701756
1993-147149-0026,28,-1.5,1.5,-0.6,2.2045407685048604
1993-147149-0028,130,1.5,1.5,0.6,2.2045407685048604
1993-147149-0029,145,-1.5,0.0,1.0,1.8027756377319946
1993-147964-0000,130,1.5,1.5,0.6,2.2045407685048604
1993-147964-0001,67,0.0,-1.5,-0.3,1.5297058540778354
1993-147964-0002,220,-0.75,-0.5,0.3,0.95
1993-147964-0003,230,-1.5,-0.25,0.6,1.6347782724271815
1993-147964-0004,12,1.5,0.5,-1.0,1.8708286933869707
1993-147964-0005,161,1.0,-1.5,1.0,2.0615528128088303
1993-147964-0006,154,1.5,1.5,1.0,2.345207879911715
1993-147964-0007,53,-1.0,1.5,-0.3,1.8275666882497066
1993-147964-0008,246,1.5,0.75,1.0,1.9525624189766635
1993-147964-0009,6,-0.5,1.5,-1.0,1.8708286933869707
1993-147965-0000,209,-0.25,0.75,0.0,0.7905694150420949
1993-147965-0001,7,0.0,1.5,-1.0,1.8027756377319946
1993-147965-0002,120,-1.5,-0.5,0.3,1.6093476939431082
1993-147965-0003,209,-0.25,0.75,0.0,0.7905694150420949
1993-147965-0004,31,0.0,1.5,-0.6,1.6155494421403511
1993-147965-0005,237,2.0,1.0,0.6,2.3151673805580453
1993-147965-0006,212,1.75,0.0,0.0,1.75
1993-147965-0007,71,-1.5,-1.0,-0.3,1.8275666882497066
1993-147965-0008,142,-1.5,-1.5,0.6,2.2045407685048604
1993-147966-0000,168,-1.5,-0.5,1.0,1.8708286933869707
1993-147966-0002,137,1.0,-1.5,0.6,1.9
1993-147966-0003,241,-1.75,0.75,1.0,2.1505813167606567
1993-147966-0004,239,1.75,-1.25,0.6,2.2327113561766105
1993-147966-0005,206,-2.0,0.75,0.0,2.1360009363293826
1993-147966-0006,68,-0.5,-1.5,-0.3,1.6093476939431082
2035-147960-0000,174,1.0,1.25,-1.0,1.8874586088176875
2035-147960-0001,128,0.5,1.5,0.6,1.6911534525287764
2035-147960-0002,243,-1.5,1.25,1.0,2.1937410968480306
2035-147960-0003,175,0.75,1.25,-1.0,1.7677669529663689
2035-147960-0004,101,-1.0,1.5,0.3,1.8275666882497066
2035-147960-0005,188,-1.25,0.75,-0.6,1.5763882770434445
2035-147960-0006,239,1.75,-1.25,0.6,2.2327113561766105
2035-147960-0007,141,-1.0,-1.5,0.6,1.9
2035-147960-0008,185,-2.0,-0.25,-0.6,2.102974084481309
2035-147960-0009,73,-1.5,0.0,0.0,1.5
2035-147960-0010,1,-1.5,0.0,-1.0,1.8027756377319946
2035-147960-0011,210,0.5,1.0,0.0,1.118033988749895
2035-147960-0012,187,-1.5,0.75,-0.6,1.7811513130556875
2035-147960-0013,197,-1.5,0.25,-0.3,1.55
2035-147960-0014,151,0.0,1.5,1.0,1.8027756377319946
2035-147960-0015,243,-1.5,1.25,1.0,2.1937410968480306
2035-147960-0016,198,-2.0,0.5,-0.3,2.083266665599966
2035-147961-0001,235,0.75,0.75,0.6,1.218605760695394
2035-147961-0002,81,1.0,1.5,0.0,1.8027756377319946
2035-147961-0003,53,-1.0,1.5,-0.3,1.8275666882497066
2035-147961-0004,34,1.5,1.5,-0.6,2.2045407685048604
2035-147961-0005,83,1.5,1.0,0.0,1.8027756377319946
2035-147961-0006,30,-0.5,1.5,-0.6,1.6911534525287764
2035-147961-0007,23,-1.5,-1.0,-1.0,2.0615528128088303
2035-147961-0008,206,-2.0,0.75,0.0,2.1360009363293826
2035-147961-0009,51,-1.5,1.0,-0.3,1.8275666882497066
2035-147961-0010,3,-1.5,1.0,-1.0,2.0615528128088303
2035-147961-0011,114,0.5,-1.5,0.3,1.6093476939431082
2035-147961-0012,250,0.5,-1.0,1.0,1.5
2035-147961-0013,119,-1.5,-1.0,0.3,1.8275666882497066
2035-147961-0014,206,-2.0,0.75,0.0,2.1360009363293826
2035-147961-0015,201,0.0,1.25,-0.3,1.285496013218244
2035-147961-0016,213,1.25,-0.25,0.0,1.2747548783981961
2035-147961-0017,75,-1.5,1.0,0.0,1.8027756377319946
2035-147961-0018,117,-1.0,-1.5,0.3,1.8275666882497066
2035-147961-0019,197,-1.5,0.25,-0.3,1.55
2035-147961-0020,187,-1.5,0.75,-0.6,1.7811513130556875
2035-147961-0021,120,-1.5,-0.5,0.3,1.6093476939431082
2035-147961-0022,140,-0.5,-1.5,0.6,1.6911534525287764
